,source_sentence,ref0,hyp0,wer0,ref1,hyp1,wer1
2276,слушаю полковник владимиров,слушаю полковник владимиров,коленик инс коления,1.0,слушаю полковник владимиров,слушаю полко владимировно,0.6666666666666666
2277,так вот что я хочу чтобы ты сказал,так вот что я хочу чтобы ты сказал,так вот что я хочу чтобы ты сказал,0.0,так вот что я хочу чтобы ты сказал,вот что я хочу чтоб ты сказал,0.25
2278,так вот а теперь представь что эээ э ты можешь сказать что это было,так вот а теперь представь что эээ э ты можешь сказать что это было,как вот а теперь представьте что это ты можешь сказать что это,0.35714285714285715,так вот а теперь представь что эээ э ты можешь сказать что это было,так вот теперь приставь что это можете было,0.6428571428571429
2279,чё то не понял,чё то не понял,а че то не понял,0.5,чё то не понял,да че то не понял,0.5
2280,в общем мы не поняли вас правильно или нет звоните на дежурный по военкомату,в общем мы не поняли вас правильно или нет звоните на дежурный по военкомату,в общем не поняли вас правильно или нет звоните на дежурный по военноку,0.14285714285714285,в общем мы не поняли вас правильно или нет звоните на дежурный по военкомату,в общем мы не поняли вас правильно или нет звоните на дежурный по военнокома,0.07142857142857142
2281,вы звоните в областную психиатрическую больницу а не на владивостокскую,вы звоните в областную психиатрическую больницу а не на владивостокскую,вы звоните в областную психиатрическую домажетскую,0.5,вы звоните в областную психиатрическую больницу а не на владивостокскую,вы звоните в областную психиатрическую больницу а не владивостокскую,0.1
2282,а мне сказали вы откуда звоните,а мне сказали вы откуда звоните,а мне сказали вы откуда звоните,0.0,а мне сказали вы откуда звоните,а мне сказали вы откуда звоните,0.0
2283,да да конечно да да слушаю вас я полковник в первую очередь,да да конечно да да слушаю вас я полковник в первую очередь,да да конечно да да слушаю вас я полковник в первую очередь,0.0,да да конечно да да слушаю вас я полковник в первую очередь,да да конечно да да слушаю вас я полконик в первую очередь,0.08333333333333333
2284,так это же просто замечательно ну что дальше я хочу чтобы ты знал как это замечательно когда ты получаешь удовольствие от самого процесса и от всего того что с тобой происходит,так это же просто замечательно ну что дальше я хочу чтобы ты знал как это замечательно когда ты получаешь удовольствие от самого процесса и от всего того что с тобой происходит,так это же просто замечательно ну что дальше я хочу чтобы ты знал как это замечать посам самог,0.5161290322580645,так это же просто замечательно ну что дальше я хочу чтобы ты знал как это замечательно когда ты получаешь удовольствие от самого процесса и от всего того что с тобой происходит,как это же просто замечательно ну что дальше я хочу чтобы ты знал как это замечательно когда т,0.4838709677419355
2285,всё сказал и пошёл спать,всё сказал и пошёл спать,все сказал и пошел спать,0.4,всё сказал и пошёл спать,все сказал и пошел спать,0.4
2286,это ж надо было столько сил на это затратить а вы всё время врёте,это ж надо было столько сил на это затратить а вы всё время врёте,ж надо было столько сил на это затратить он время врете,0.35714285714285715,это ж надо было столько сил на это затратить а вы всё время врёте,это ж надо было столько сил на это затратить а вы все время время время,0.21428571428571427
2287,да ну а какой город куда вам надо прибыть в какой кабинет,да ну а какой город куда вам надо прибыть в какой кабинет,да ну а какой город куда вам надо прибыль в какой кабинет,0.08333333333333333,да ну а какой город куда вам надо прибыть в какой кабинет,да ну а какой город куда вам надо прибыть в какой кабинет,0.0
2288,вот так вот я говорю с вами на ин языке мы разговариваем на одном языке,вот так вот я говорю с вами на ин языке мы разговариваем на одном языке,вот так вот я говорю с вами на ин языке мы разговариваем на одном языке,0.0,вот так вот я говорю с вами на ин языке мы разговариваем на одном языке,вот я говорю с вами на ин языке мы разговариваем на одном языке,0.13333333333333333
2289,понимаешь эээ вот мы с ребятами из детского дома,понимаешь эээ вот мы с ребятами из детского дома,понимаешь э вот то мы с ребятами из детского дома,0.2222222222222222,понимаешь эээ вот мы с ребятами из детского дома,понимаешь э вот мы с ребятами из детского дома,0.1111111111111111
2290,да а вы откуда звоните вы мне говорите,да а вы откуда звоните вы мне говорите,да а вы откуда звоните вы мне говорите,0.0,да а вы откуда звоните вы мне говорите,да а вы откуда звоните вы мне говорите,0.0
2291,какого отделения я вас спрашиваю,какого отделения я вас спрашиваю,какого отделение я вас спрашиваю,0.2,какого отделения я вас спрашиваю,какого отделения я вас спрашиваю,0.0
2292,ну а чё ты не едешь в областной военкомат,ну а чё ты не едешь в областной военкомат,ну а че ты не едешь в областной военнокомат,0.2222222222222222,ну а чё ты не едешь в областной военкомат,ну о че ты не едешь в областной военкомат,0.2222222222222222
2293,я ж сказала что я звонила к вам с какого то номера телефона вы мне названивали каждый месяц,я ж сказала что я звонила к вам с какого то номера телефона вы мне названивали каждый месяц,я ж сказала что я звонила к вам с какого то номера телефона вы мне названивали каждый месяц,0.0,я ж сказала что я звонила к вам с какого то номера телефона вы мне названивали каждый месяц,я ж сказала что я звонила к вам с какого то номера телефона вы мне названивали каждый месяц,0.0
2294,ааа это уже по новой,ааа это уже по новой,ааа это уже по новой,0.0,ааа это уже по новой,ааа это уже по новой,0.0
2295,а чё ты на меня так и смотришь ааа как на дуру валентину,а чё ты на меня так и смотришь ааа как на дуру валентину,ты на меня так и смотришь а как на дур валентину,0.3076923076923077,а чё ты на меня так и смотришь ааа как на дуру валентину,а че ты на меня так и смотришь ааа как надуру валентино,0.3076923076923077
2296,я сторож военмеха полковник в первую очередь дааа ааа,я сторож военмеха полковник в первую очередь дааа ааа,я сто раз военно полник имех первую очередь да а,0.7777777777777778,я сторож военмеха полковник в первую очередь дааа ааа,я сорож военмеха полника в первую очередь да ааа,0.3333333333333333
2297,вы знаете кто он и откуда вы его знали мне сказали что да он полковник в первую очередь потому что,вы знаете кто он и откуда вы его знали мне сказали что да он полковник в первую очередь потому что,вы знаете кто он и откуда вы его знали мне сказали что да он полковник в первую очередь потому что,0.0,вы знаете кто он и откуда вы его знали мне сказали что да он полковник в первую очередь потому что,вы знаете кто он откуда вы его знали мне сказали что да он полковник в первую очередь потому что,0.05
2298,я сторож военкомата гдр рязанской области здравствуйте алло,я сторож военкомата гдр рязанской области здравствуйте алло,я сто разговор ваш где рязанской области здоровьте алло,0.625,я сторож военкомата гдр рязанской области здравствуйте алло,я сто разговор интаформация я здравствуйте области здравствуйте алло,0.625
2299,ну да да вот,ну да да вот,ну да да вот,0.0,ну да да вот,ну да да вот,0.0
2300,какой то мудило звонит говорит к какому телефону,какой то мудило звонит говорит к какому телефону,какой то мудило звонит говорит к какому телефону,0.0,какой то мудило звонит говорит к какому телефону,какой то мудило звонит говорит к какому телефону,0.0
2301,так что извините за грубость пожалуйста,так что извините за грубость пожалуйста,так что извините за грубость пожалуйста,0.0,так что извините за грубость пожалуйста,так что извините за грубости пожалуйста,0.16666666666666666
2302,ты что издеваешься надо мной,ты что издеваешься надо мной,давайте и здеваешься надо мной,0.6,ты что издеваешься надо мной,все здесь с надо мной,0.6
2303,у меня есть знакомый он живёт в москве я с ним поговорю и всё остальное нууу а зачем ты хочешь чтоб у нас была какая то своя слава,у меня есть знакомый он живёт в москве я с ним поговорю и всё остальное нууу а зачем ты хочешь чтоб у нас была какая то своя слава,у меня есть знакомый он живет в москве я с ним поговорю и все остальное ну а зачем ты хочешь что у нас была какая то своя слава,0.14285714285714285,у меня есть знакомый он живёт в москве я с ним поговорю и всё остальное нууу а зачем ты хочешь чтоб у нас была какая то своя слава,знаком есть знакомый он живет в москве я с ним поговорю и все остальное ну а зачем ты хочешь чтобы у нас была какая то своя слава,0.21428571428571427
2304,так вы кто у меня спрашиваете ааа я вас спрашиваю кого надо поймать и зарезать дааа ну понятно понятно а кто говорит то ооо ооочень молодой человек в возрасте,так вы кто у меня спрашиваете ааа я вас спрашиваю кого надо поймать и зарезать дааа ну понятно понятно а кто говорит то ооо ооочень молодой человек в возрасте,так вы кто у меня спрашиваете а я вас спрашиваю кого надо поймать и зарезать да ну понятно понятно понятно кто оона кто оо,0.3793103448275862,так вы кто у меня спрашиваете ааа я вас спрашиваю кого надо поймать и зарезать дааа ну понятно понятно а кто говорит то ооо ооочень молодой человек в возрасте,так вы кто у меня спрашиваете аа я вас спрашиваю кого надо поймать и зарезать да ну понятно понятно понятно а кто говорите,0.3793103448275862
2305,так я вам говорю что вы хотите,так я вам говорю что вы хотите,так я вам говорю что вы хотите,0.0,так я вам говорю что вы хотите,так я вам говорю что вы хотите,0.0
2306,нет ну ты же знаешь что эээ угу в россии эрэфовские банды бывают,нет ну ты же знаешь что эээ угу в россии эрэфовские банды бывают,нет ну ты же знаешь что угу в росссии нет банды бывают,0.23076923076923078,нет ну ты же знаешь что эээ угу в россии эрэфовские банды бывают,нет ну ты же знаешь что угу в россии эрфовские банды бывают,0.15384615384615385
2307,в какой ты области служил ну во владивостоке там где родился,в какой ты области служил ну во владивостоке там где родился,в какой ты области служил ну во владивостоке там где родился,0.0,в какой ты области служил ну во владивостоке там где родился,какой ты области служил ну во владивостоке там где родился,0.09090909090909091
2308,вы в дурдом звоните да вы в морг дежурный да вот,вы в дурдом звоните да вы в морг дежурный да вот,вы в дурдом звоните да вы в морг дежурный да вот,0.0,вы в дурдом звоните да вы в морг дежурный да вот,дурдом звоните да вы в морг дежурный да вот,0.18181818181818182
2309,всё таки у неё там с головой плохо ваще как у тебя вообще,всё таки у неё там с головой плохо ваще как у тебя вообще,все таки у нееее там с головой плохо ваще как тебя вообще,0.23076923076923078,всё таки у неё там с головой плохо ваще как у тебя вообще,все таки у нееее давай плохо ваще как у тебя вообще,0.38461538461538464
2310,кто звонил вам здравствуйте я ваша тётя,кто звонил вам здравствуйте я ваша тётя,кто звонил вам здравствуйте я ваша тетелефон,0.14285714285714285,кто звонил вам здравствуйте я ваша тётя,кто звонил вам здравствуйте я ваша тете,0.14285714285714285
2311,ты же знаешь что такое кунсткамера эээ,ты же знаешь что такое кунсткамера эээ,ты знаешь что такое кунсткамера ээ,0.2857142857142857,ты же знаешь что такое кунсткамера эээ,же значит что такое кунсткамера,0.42857142857142855
2312,ну чё ж теперь ты будешь с ней драться что ли да нет,ну чё ж теперь ты будешь с ней драться что ли да нет,ну че ж теперь ты будешь с ней драться что ли да нет,0.07692307692307693,ну чё ж теперь ты будешь с ней драться что ли да нет,ну че ж теперь ты будешь с ней драться что ли да нет,0.07692307692307693
2313,всё понятно чё молчишь то ну вот,всё понятно чё молчишь то ну вот,все понятно че молчишь то ну вот,0.2857142857142857,всё понятно чё молчишь то ну вот,все понятно че молчишь то ну вот,0.2857142857142857
2314,всё записал и все понял да вот это уже интересно,всё записал и все понял да вот это уже интересно,все записал и все понял да вот это уже интересно,0.1,всё записал и все понял да вот это уже интересно,все записал и все понял да вот это уже интересно,0.1
2315,так вот и всё давай давай удачи тебе,так вот и всё давай давай удачи тебе,так вот и все давай давай удачи тебе,0.125,так вот и всё давай давай удачи тебе,так вот я все давай давай удачи,0.375
2316,нууу я просто хочу чтоб ты знал,нууу я просто хочу чтоб ты знал,ну я просто охочу чтоб ты знал,0.2857142857142857,нууу я просто хочу чтоб ты знал,ну я просто хочу чтобы знал,0.42857142857142855
2317,нууу вы можете прийти завтра на работу в одно время с начальником отдела прибыть к девяти ноль ноль в триста четырнадцатый кабинет начальнику второго отделения прибыть к четырнадцати ноль пять ноль шесть,нууу вы можете прийти завтра на работу в одно время с начальником отдела прибыть к девяти ноль ноль в триста четырнадцатый кабинет начальнику второго отделения прибыть к четырнадцати ноль пять ноль шесть,ну вы можете прийти завтра на работу в одно время с начальником отдела при�,0.625,нууу вы можете прийти завтра на работу в одно время с начальником отдела прибыть к девяти ноль ноль в триста четырнадцатый кабинет начальнику второго отделения прибыть к четырнадцати ноль пять ноль шесть,ну вы можете прийти завтра на работу в одну время с начальником отдела при�,0.65625
2318,и вот я щас еду на встречу к себе домой,и вот я щас еду на встречу к себе домой,и вот я щас еду встречу к себе домой,0.1,и вот я щас еду на встречу к себе домой,и вот я щас еду на встречу к себе домой,0.0
2319,это я к тому что если вы хотите получить консультацию психолога то позвоните в военкомат узнайте,это я к тому что если вы хотите получить консультацию психолога то позвоните в военкомат узнайте,это я к тому что если вы хотите получить консультацию психолога то позвоните в информацию психолога то позвоните,0.25,это я к тому что если вы хотите получить консультацию психолога то позвоните в военкомат узнайте,это я к тому что если вы хотите получить консультацию психолога то позвоните военнот узнайте,0.125
2320,а если бы ты был президентом то как бы тебе пришлось с ней общаться,а если бы ты был президентом то как бы тебе пришлось с ней общаться,а если бы ты был президентом то как бы тебе пришлось с ней общаться,0.0,а если бы ты был президентом то как бы тебе пришлось с ней общаться,а если бы ты был президентом то как бы тебе пришлось с ней общаться,0.0
2321,нууу и как это повлияет на развитие нашего дела,нууу и как это повлияет на развитие нашего дела,ну я как это повлияет на развитие нашего дело,0.3333333333333333,нууу и как это повлияет на развитие нашего дела,ну и как это повлияет на развитиие нашего дела,0.2222222222222222
2322,я же сказал что я являюсь представителем компании эээ в российской высшей лиге гандбола,я же сказал что я являюсь представителем компании эээ в российской высшей лиге гандбола,я же сказал что я я являюсь представилем компании в российской высшей лиге гандбола,0.21428571428571427,я же сказал что я являюсь представителем компании эээ в российской высшей лиге гандбола,я же сказал что я я же э э представилем компании э в росийской высшей лиге гандбола,0.5
2323,а ты что не слышал что он сказал то чё я тебе говорю ты чё глухой что ли там какой-то,а ты что не слышал что он сказал то чё я тебе говорю ты чё глухой что ли там какой-то,а ты что не слышал что он сказал то че я тебе говорю тыщ глухой что ли там какой то,0.25,а ты что не слышал что он сказал то чё я тебе говорю ты чё глухой что ли там какой-то,а ты что не слышал что он осказал то че я тебя говорю ты че глухой что ли там какой то,0.3
2324,да я понял да да а почему ты не предупредил меня,да я понял да да а почему ты не предупредил меня,да мне то слага почему ты не предупредил меня,0.45454545454545453,да я понял да да а почему ты не предупредил меня,это я понял да а почему ты не предупредил меня,0.18181818181818182
2325,и я понял только то что это были мои последние слова,и я понял только то что это были мои последние слова,и я понял только что это были мои последние слова,0.09090909090909091,и я понял только то что это были мои последние слова,понял а я понял только то что это были мои последний слова,0.2727272727272727
2326,ну да конечно и это было в июле эээ во второй половине ну,ну да конечно и это было в июле эээ во второй половине ну,ну да конечно и это было в июле э во второй половине ну,0.07692307692307693,ну да конечно и это было в июле эээ во второй половине ну,ну да конечно и это было в июле во второй половине ну,0.07692307692307693
2327,я тебе не звоню я просто хотел пообщаться с тобой,я тебе не звоню я просто хотел пообщаться с тобой,я тебя не звонил я просто хотел пообщаться с тобой,0.2,я тебе не звоню я просто хотел пообщаться с тобой,я тебе не звоню я просто хотел пообщаться с тобой,0.0
2328,и не будет никогда,и не будет никогда,и не будет никогда,0.0,и не будет никогда,не будет не будет никогда,0.5
2329,я говорю вы что хотите я не пойму вам чё звоните в какой город,я говорю вы что хотите я не пойму вам чё звоните в какой город,я говорю вы что вы хотите не пойму вам че звоните в какой город,0.21428571428571427,я говорю вы что хотите я не пойму вам чё звоните в какой город,я говорю вы что хотите я не пойму вам че звоните в какой город,0.07142857142857142
2330,давай щас приеду тебя наебут как следует вот я тебе устрою иии ты мне заплатишь бля ну давай приезжай не пожалеешь сука а бля вот вот так то угу так вот эээ,давай щас приеду тебя наебут как следует вот я тебе устрою иии ты мне заплатишь бля ну давай приезжай не пожалеешь сука а бля вот вот так то угу так вот эээ,давай щас приеду тебя наебут как следует вот я тебе объясню и ты мне заплатишь бля ну давайте угу так то угу,0.4375,давай щас приеду тебя наебут как следует вот я тебе устрою иии ты мне заплатишь бля ну давай приезжай не пожалеешь сука а бля вот вот так то угу так вот эээ,давай щас приеду тебе наебут как следует вот я тебе устрою и ты мне заплатишь бля ну давай приезжай не пожале,0.4375
2331,так а где он находится кабинет то мой в каком городе и куда мне прибыть скажите,так а где он находится кабинет то мой в каком городе и куда мне прибыть скажите,так а где он находится кабинет то мой городе и куда мне прибыть скажите,0.125,так а где он находится кабинет то мой в каком городе и куда мне прибыть скажите,а где он находится кабинет то мой каком городе и куда мне прибыть скажите,0.125
2332,вот и замечательно у меня есть два телефона у одного из этих,вот и замечательно у меня есть два телефона у одного из этих,вот и замечательно у меня есть два телефона у одного из этих,0.0,вот и замечательно у меня есть два телефона у одного из этих,вот замечательно у меня есть два телефона у одного из этих,0.08333333333333333
2333,а что такое,а что такое,а что такое,0.0,а что такое,а что такое,0.0
2334,а вы кто такой,а вы кто такой,а вы кто такой,0.0,а вы кто такой,а вы кто такой,0.0
2335,вы куда звоните я вас слышу,вы куда звоните я вас слышу,вы куда звоните я вас слышу,0.0,вы куда звоните я вас слышу,вы куда звоните я вас слышу,0.0
2336,а ты чё такой больной что ли нет,а ты чё такой больной что ли нет,а ты че такой больной что ли нет,0.125,а ты чё такой больной что ли нет,а че такой больной что ли нет,0.25
2337,да что ж вы такие грубые,да что ж вы такие грубые,да что вы такие грубые,0.16666666666666666,да что ж вы такие грубые,что вы такие грубые,0.3333333333333333
2338,вы куда звоните ааа вы по какому телефону говорите,вы куда звоните ааа вы по какому телефону говорите,вы куда звоните ааа вы по какому телефону говорите,0.0,вы куда звоните ааа вы по какому телефону говорите,вы куда звоните а вы покакому телефону говорите,0.3333333333333333
2339,ну а чё это за телефон такая ты щас на улице увидишь или нету там наверно,ну а чё это за телефон такая ты щас на улице увидишь или нету там наверно,ну а че это за телефон такая ты щас на улице увидишь или нету там наверное,0.125,ну а чё это за телефон такая ты щас на улице увидишь или нету там наверно,ну а че это за телефон такая ты щас наулице вот или нет она поверьте,0.4375
2340,да я вам уже говорил,да я вам уже говорил,да я вам уже говорю,0.2,да я вам уже говорил,да вам уже говорил,0.2
2341,не надо было приезжать сюда,не надо было приезжать сюда,не надо было приезжать сюда,0.0,не надо было приезжать сюда,не надо было приезжать сюда,0.0
2342,а я тебя в дурдоме видел,а я тебя в дурдоме видел,а я тебя в дурдоме видел,0.0,а я тебя в дурдоме видел,а я тебя в дурдоме видел,0.0
2343,я вам ещё раз говорю я не знаю ни один человек который бы мне звонил и писал мне это я даже не знал об этом никто,я вам ещё раз говорю я не знаю ни один человек который бы мне звонил и писал мне это я даже не знал об этом никто,я вам еще раз говорю я не знаю ни один человек который бы мне звонил и писал мне это я даже не знал об этом никто,0.038461538461538464,я вам ещё раз говорю я не знаю ни один человек который бы мне звонил и писал мне это я даже не знал об этом никто,я вам еще раз говорю я не знаю не один человек который бы мне звонил и писал мне звонил и писал мне это я даже не знал об этом никто,0.23076923076923078
2344,и я понял ну всё давай иди нахуй,и я понял ну всё давай иди нахуй,и я понял ну все давай иди нахуй,0.125,и я понял ну всё давай иди нахуй,и я понял ну все давай иди нахуй,0.125
2345,и я буду молчать пока ты не скажешь да кто ж тебе звонит вообще,и я буду молчать пока ты не скажешь да кто ж тебе звонит вообще,и я буду молчать пока ты не скажешь да кто ж тебе звонит вообще,0.0,и я буду молчать пока ты не скажешь да кто ж тебе звонит вообще,и я буду молчать пока не скажешь да кто ж тебе звонит вообще,0.07142857142857142
2346,нууу ты даёшь ну конечно это же пиздец как здорово когда тебя слушают,нууу ты даёшь ну конечно это же пиздец как здорово когда тебя слушают,ну ты даешь ну конечно это же пережде как здорово когда тебя слушают,0.23076923076923078,нууу ты даёшь ну конечно это же пиздец как здорово когда тебя слушают,ну ты даешь ну конечно же пиздец как здорова когда тебя слушают,0.3076923076923077
2347,так вот а я тебе говорю в понедельник я вам звоню в девять утра я вас спрашиваю куда прибыть,так вот а я тебе говорю в понедельник я вам звоню в девять утра я вас спрашиваю куда прибыть,так вот а я тебе говорю в понедельник я вам звоню в девять утра я вас спрашиваю куда прибыть,0.0,так вот а я тебе говорю в понедельник я вам звоню в девять утра я вас спрашиваю куда прибыть,так вот а я тебе говорю в понедельник я вам звоню в девять утра я вас спрашиваю куда прибыль,0.05263157894736842
2348,какого числа вам прибыть начальнику второго отделения прибыть,какого числа вам прибыть начальнику второго отделения прибыть,какого числа вам прибыть начальнику второго отделения прибыль,0.125,какого числа вам прибыть начальнику второго отделения прибыть,какого числа вам прибыть начальнику второго деления прибыть,0.125
2349,а чё так плохо слышно то я не пойму вам дааа,а чё так плохо слышно то я не пойму вам дааа,а че так плохо слышно то я не пойму вам да да,0.2727272727272727,а чё так плохо слышно то я не пойму вам дааа,а че так плохо слышно то я не пойму вам даа,0.18181818181818182
2350,в девять часов утра я вас слушаю я говорю вам куда прибыть вы мне говорите по телефону или по какому,в девять часов утра я вас слушаю я говорю вам куда прибыть вы мне говорите по телефону или по какому,в девять часов утра я вас слушаю я говорю вам куда прибыть вы мне говорите по телефону или по какому,0.0,в девять часов утра я вас слушаю я говорю вам куда прибыть вы мне говорите по телефону или по какому,давай часов утра я вас слушаю я говорю вам куда прибыть вы мне говорите по телефону или по какому,0.1
2351,ну вот щас я тебе скажу чё ты хочешь э,ну вот щас я тебе скажу чё ты хочешь э,ну вот щас я тебе скажу че ты хочешь,0.2,ну вот щас я тебе скажу чё ты хочешь э,ну вот который повторите че то хочешь,0.7
2352,ты что больной что ли блять ты чё бля бляя не понял чё вы от неё хотели а дааа она у нас работает по выходным,ты что больной что ли блять ты чё бля бляя не понял чё вы от неё хотели а дааа она у нас работает по выходным,ты что больной что ли блять ты че плять были блять ты че не не понял че вы от неееехотели а да она у нас работает по выходным,0.44,ты что больной что ли блять ты чё бля бляя не понял чё вы от неё хотели а дааа она у нас работает по выходным,ты что больной что ли мне хотели а много от не хотели по выходным,0.64
2353,это всё было давно но всё ж как то не очень,это всё было давно но всё ж как то не очень,это все было давно но все ж как то не очень,0.18181818181818182,это всё было давно но всё ж как то не очень,это все было давно но все ж как то не очень,0.18181818181818182
2354,вы кто вообще такой вы кто,вы кто вообще такой вы кто,вы кто вы такой вы кто,0.16666666666666666,вы кто вообще такой вы кто,вы кто вообще такой вы кто,0.0
2355,а я не пойму вы о чём вообще говорите,а я не пойму вы о чём вообще говорите,а я не пойму вы о чем вообще говорите,0.1111111111111111,а я не пойму вы о чём вообще говорите,а я не пойму вы о чем вообще говорите,0.1111111111111111
2356,давай встретимся завтра да давай встретимся поговорим о чём с какой стати я должен встретиться то со своей эээ фсб,давай встретимся завтра да давай встретимся поговорим о чём с какой стати я должен встретиться то со своей эээ фсб,давай встретимся завтра да давай встретимся поговорим о чем с какой стати я должен встретится то своей э фсб,0.2,давай встретимся завтра да давай встретимся поговорим о чём с какой стати я должен встретиться то со своей эээ фсб,давай встретимся завтра да давай встретимся поговорим о чем с какой стати я должен встретиться то со своей фсб,0.1
2357,да ну ладно давай я тебе скину номер свой,да ну ладно давай я тебе скину номер свой,да давай я тебе скину номер свой,0.2222222222222222,да ну ладно давай я тебе скину номер свой,да ну ладно давайте я тебе скину номер свой,0.1111111111111111
2358,я вас спрашиваю куда вы попали а ну пожалуйста скажите куда прибыть и когда явиться эээ в военкомат,я вас спрашиваю куда вы попали а ну пожалуйста скажите куда прибыть и когда явиться эээ в военкомат,я вас спрашиваю куда вы попали ну пожалуйста скажите куда прибыть и когда явиться ээ воинкомат,0.2222222222222222,я вас спрашиваю куда вы попали а ну пожалуйста скажите куда прибыть и когда явиться эээ в военкомат,вас я вас спрашиваю куда вы попали а ну пожалуйста скажите куда прибыль когда явиться э в военноком,0.2777777777777778
